genes	m0 control1	m0 control2	m0 control3	m0 control4	m0 Latex	m0 E. coli	m0 EHEC	m0 S. typhi	m0 S. typhimirium	m0 S. aureus	m0 L. monocytogenes	m0 M. tuberculosis	m0 M. bovis BCG	m0 LPS E	m0 LPS S	m0 LTA	m0 MDP	m0 TB hsp70	m0 BCG hsp65	m0 MPA	m0 f-MLP	m0 Protein A	m0 Mannose	m0 IFN-alpha	m0 IFN-beta	m0 IFN-gamma	m0 IL-10	m0 IL-12	m0 (U937) control1	m0 (U937) B. pertussis 338	m0 (U937) B. pertussis 537 (avirulent)	m0 (U937) B. pertussis A2-6 (AC-)	m0 (U937) B. pertussis Tox6 (PT-)	DC control1	DC control2	DC control3	DC E. coli 	DC Influenza 	DC C. albicans 	DC LPS 	DC PolyIC 	DC Mannan 
SPINT2	1.159	2.1329	1.2209	             NaN	             NaN	2.1329	1.0982	1.4379	1.0551	2.0901	3.2474	2.1329	1.1298	2.2591	1.4751	3.8407	             NaN	5.3796	             NaN	1.888	             NaN	             NaN	1.5421	3.152	3.152	2.7486	3.152	2.3833	             NaN	2.06	             NaN	1.41	             NaN	             NaN	2.1834	             NaN	             NaN	1.0819	             NaN	1.585	             NaN	             NaN
H1FX	             NaN	             NaN	1.1728	             NaN	1.578	             NaN	             NaN	1.4754	1.0187	             NaN	             NaN	             NaN	1.1905	             NaN	             NaN	1.0032	1.0655	1.4107	1.1233	             NaN	             NaN	             NaN	1.0234	1.0206	4.1894	4.1894	1.2526	1.4336	             NaN	             NaN	             NaN	             NaN	             NaN	1.4433	2.4222	2.6457	             NaN	             NaN	1.8458	             NaN	             NaN	             NaN
PRG2	             NaN	1.1935	1.1754	1.6943	             NaN	1.1935	1.1381	1.1184	1.2986	1.0403	1.1173	             NaN	             NaN	             NaN	             NaN	             NaN	1.7969	1.2951	1.9851	             NaN	1.227	1.4753	             NaN	3.5152	3.5152	3.5152	1.3248	1.5598	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	4.2128	             NaN	1.263	             NaN	             NaN
ALDH2	             NaN	             NaN	             NaN	1.0679	             NaN	             NaN	             NaN	             NaN	1.251	             NaN	             NaN	1.1603	             NaN	             NaN	             NaN	             NaN	1.0977	             NaN	             NaN	1.8342	1.4587	1.8288	1.057	1.2279	1.8244	3.8323	2.3726	             NaN	             NaN	1.73	             NaN	1.085	1.595	2.1609	1.0909	1.1787	2.7248	             NaN	2.0874	3.0356	             NaN	1.8219
ALDH1A1	             NaN	             NaN	1.5657	             NaN	             NaN	             NaN	1.4622	1.9479	1.4404	1.5229	1.195	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.7213	1.6832	             NaN	             NaN	             NaN	1.274	1.2607	             NaN	1.7974	1.2284	1.0835	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3128	             NaN	1.0415	1.5689	             NaN	1.7804	1.8362	             NaN
SLC2A3	1.0862	1.1074	             NaN	1.3433	1.2718	1.2633	1.725	             NaN	             NaN	1.2512	             NaN	2.4865	2.0284	             NaN	1.7714	             NaN	             NaN	             NaN	             NaN	1.4654	1.3232	1.0031	1.0522	3.399	1.3431	3.399	3.399	1.3585	             NaN	3.11	1.46	1.77	2.01	3.6538	             NaN	             NaN	1.3723	2.1496	             NaN	2.2804	2.1182	1.0588
SHC3	1.8203	2.1135	             NaN	2.4252	1.5706	2.0642	2.6861	             NaN	             NaN	1.1672	1.0414	2.1186	2.4407	2.3847	1.2978	1.1934	1.8349	1.4944	             NaN	             NaN	             NaN	1.0713	2.3211	1.6436	2.0643	1.6436	1.6436	1.6436	             NaN	             NaN	             NaN	             NaN	             NaN	1.7225	1.4957	3.8359	1.7205	             NaN	             NaN	             NaN	             NaN	             NaN
RGS2	             NaN	1.0158	1.8567	1.629	             NaN	             NaN	             NaN	1.576	1.0371	             NaN	2.2988	1.1597	             NaN	1.9914	2.3482	1.0812	2.2928	2.2988	2.2988	1.6496	1.2228	1.8678	1.4124	1.2462	             NaN	             NaN	             NaN	1.27	             NaN	             NaN	             NaN	             NaN	             NaN	2.5705	1.2388	1.788	1.7864	2.1589	             NaN	2.5361	2.3219	1.8277
CEBPD	             NaN	             NaN	2.335	2.0488	             NaN	1.0657	1.505	1.3846	             NaN	1.0556	1.2597	1.0182	2.3137	1.0211	1.4686	1.1385	2.7087	1.476	2.0909	             NaN	1.164	1.671	2.0543	             NaN	2.0643	1.4294	3.1954	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.7093	             NaN	3.9241	2.4726	2.5095	1.5097	1.3612	1.8115	2.3404
IRAK1	             NaN	             NaN	2.5513	             NaN	             NaN	             NaN	1.0445	1.0381	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.9772	             NaN	2.3542	2.3688	             NaN	             NaN	             NaN	             NaN	1.3065	5.1557	1.0283	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.5174	1.1478	             NaN	             NaN	1.1575	             NaN	1.258	1.424	             NaN
PRRX1	             NaN	             NaN	1.489	             NaN	             NaN	1.1743	1.1718	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0169	             NaN	3.1169	             NaN	             NaN	1.7996	             NaN	1.1084	             NaN	             NaN	3.0474	3.4608	1.9342	1.8086	1.0485	             NaN	             NaN	             NaN	             NaN	             NaN	2.4259	             NaN	             NaN	1.6863	             NaN	             NaN	3.121	1.6781	1.161
HSF1	1.1693	             NaN	2.0479	             NaN	1.0352	2.7524	1.1526	             NaN	3.374	             NaN	1.0083	             NaN	             NaN	1.1003	2.4797	2.0519	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.4037	1.6103	2.6916	1.6135	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2869	             NaN	1.2289	1.1073	1.1269	1.3219	             NaN	1.0704	             NaN
POLRMT	1.1369	1.3286	1.8367	             NaN	             NaN	1.7501	             NaN	1.4129	2.5175	1.4763	1.2595	1.0429	             NaN	1.2389	             NaN	2.9531	1.1375	             NaN	1.9039	1.2846	1.5197	1.041	2.1773	1.831	1.831	             NaN	1.831	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.201	1.0704	             NaN	1.4406	1.1073	             NaN	             NaN	1.1315	1.0294
BAT1	             NaN	             NaN	1.4738	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0231	1.655	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1144	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.5099	             NaN	             NaN	             NaN	             NaN	1.1375	             NaN	             NaN
TIAF1	             NaN	1.3657	1.2299	1.1089	1.7009	1.9506	             NaN	             NaN	             NaN	1.6592	             NaN	2.0228	1.2451	             NaN	1.046	1.6302	             NaN	3.1593	             NaN	             NaN	1.3713	2.0046	2.094	1.3613	1.3613	1.3613	1.3613	1.3613	             NaN	             NaN	             NaN	             NaN	             NaN	1.1387	1.4751	1.0514	             NaN	1.7195	             NaN	1.2016	             NaN	             NaN
NFYC	             NaN	             NaN	1.1062	1.0468	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0966	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1948	             NaN	             NaN	             NaN	1.2064	             NaN	             NaN	             NaN	             NaN
TFDP2	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.42	             NaN	1.315	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN
CTTN	             NaN	             NaN	1.7697	             NaN	1.4385	             NaN	1.6716	             NaN	             NaN	1.3089	1.2731	             NaN	1.0795	4.0057	             NaN	3.1576	             NaN	1.6716	             NaN	             NaN	             NaN	             NaN	             NaN	3.2878	3.2878	3.2878	3.2878	3.0694	             NaN	             NaN	             NaN	             NaN	             NaN	1.3896	             NaN	1.3334	2.5799	             NaN	2.424	             NaN	             NaN	             NaN
RBM5	             NaN	             NaN	2.6383	             NaN	             NaN	1.0525	2.2958	1.1433	1.5087	             NaN	1.0784	             NaN	             NaN	1.5749	1.9564	1.7128	             NaN	             NaN	1.495	1.9564	             NaN	             NaN	             NaN	1.6183	1.6183	1.6183	1.6183	1.6183	             NaN	             NaN	1.81	             NaN	             NaN	1.1122	             NaN	1.9855	1.1443	             NaN	1.6008	             NaN	             NaN	             NaN
SULT1C1	             NaN	             NaN	1.5402	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.6475	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1113	1.1653	             NaN	             NaN	             NaN	1.0203	2.1521	2.4382	2.4754	1.527	1.8238	             NaN	             NaN	             NaN	             NaN	             NaN	1.356	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0704
GALNS	             NaN	             NaN	1.885	             NaN	             NaN	             NaN	1.3805	             NaN	1.1458	1.1251	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.7056	1.6043	             NaN	             NaN	             NaN	             NaN	2.6842	             NaN	1.5591	1.4397	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1243	             NaN	4.1938	             NaN	             NaN	1.7959	             NaN	1.6323	1.737
CCND2	             NaN	             NaN	             NaN	             NaN	             NaN	1.2338	1.2207	1.1182	             NaN	             NaN	             NaN	             NaN	1.5109	4.1776	1.5203	1.071	             NaN	1.2922	1.0768	             NaN	             NaN	             NaN	             NaN	1.5741	1.7414	1.6568	2.9235	2.0153	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.1699	             NaN	             NaN	             NaN	             NaN	             NaN	1	             NaN
CA2	             NaN	             NaN	1.0417	             NaN	             NaN	1.2501	2.1463	1.6477	1.0569	             NaN	2.1463	1.1448	             NaN	1.2682	1.0353	1.7379	             NaN	2.092	2.1463	             NaN	             NaN	             NaN	1.626	2.1169	3.8546	3.8546	3.2964	1.8141	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	3.842	1.0513	1.2335	1.3452	             NaN	             NaN	             NaN
BRRN1	             NaN	             NaN	             NaN	1.345	             NaN	3.1361	1.1309	             NaN	1.0939	1.1309	1.1868	1.5925	1.1535	1.4269	1.322	1.8016	             NaN	1.1394	             NaN	             NaN	2.4503	2.0411	2.6754	1.5173	1.7499	1.9082	1.1747	1.8666	             NaN	             NaN	             NaN	             NaN	             NaN	3.7634	             NaN	5.6651	1.1073	2.2867	             NaN	             NaN	1.7555	1.0294
ST5	             NaN	             NaN	1.1077	             NaN	1.2039	             NaN	1.6905	             NaN	             NaN	             NaN	             NaN	             NaN	1.2039	1.5663	1.5663	             NaN	             NaN	1.3004	1.368	1.5663	             NaN	1.0981	             NaN	             NaN	             NaN	             NaN	             NaN	1.1557	             NaN	             NaN	1.49	             NaN	1	1.2311	             NaN	3.6229	             NaN	1.1073	             NaN	             NaN	             NaN	1.1315
MAN2C1	             NaN	1.3066	1.8047	             NaN	             NaN	             NaN	1.4426	             NaN	1.3879	1.0902	1.8662	1.5732	             NaN	2.7401	             NaN	1.1844	1.1617	3.8741	             NaN	1.5292	1.2013	1.1812	1.1533	2.2274	2.2274	2.2274	1.7627	1.9583	             NaN	             NaN	             NaN	             NaN	             NaN	3.1375	1.6138	1.3728	             NaN	             NaN	1.0083	             NaN	             NaN	1.2555
ADARB1	             NaN	             NaN	3.4413	1.3992	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.381	1.381	             NaN	             NaN	1.5647	3.0393	1.381	             NaN	1.6154	2.1593	1.3246	1.3246	1.3246	1.187	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.5361	             NaN	             NaN	1.3459	             NaN	1.161	             NaN	             NaN	1.268
CYP51A1	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1721	             NaN	1.1097	             NaN	             NaN	             NaN	             NaN	             NaN	1.1764	1.4044	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0475	1.2546	1.2949	2.1453	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.4542	1.2987	             NaN	             NaN	1.161	1.1503	1.0605	1.5361	             NaN
DLST	             NaN	             NaN	             NaN	1.0318	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1719	1.4552	2.7181	2.2511	1.7179	1.2918	1.9405	             NaN	             NaN	             NaN	             NaN	             NaN	1.1411	1.3077	             NaN	1.353	             NaN	1.2063	1.3219	1.1071	1.848
NUMB	             NaN	             NaN	1.2883	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.4383	1.0834	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0396	             NaN	             NaN	             NaN	1.3349	1.29	1.6537	2.0079	1.045	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1763	             NaN	1.1364	1.348	             NaN	             NaN	1.6039	1.0107	             NaN
PPIC	             NaN	             NaN	             NaN	             NaN	1.04	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1971	             NaN	             NaN	             NaN	2.3237	             NaN	             NaN	             NaN	             NaN	2.2403	1.4584	1.4584	1.4584	1.4584	1.4584	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.251	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN
PDLIM4	             NaN	             NaN	             NaN	1.2062	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.9912	2.1684	2.0974	1.5522	             NaN	             NaN	1.1152	2.3105	2.2694	3.7745	1.9029	1.9029	             NaN	1.9029	1.7693	             NaN	             NaN	             NaN	             NaN	             NaN	4.2525	             NaN	1.0522	1.661	1.1073	             NaN	             NaN	2.1501	1.1752
SNTB2	1.0933	             NaN	1.7107	             NaN	1.7245	             NaN	1.1052	             NaN	             NaN	             NaN	1.1529	1.0719	             NaN	1.3845	1.4091	2.2637	1.1777	2.5514	2.5514	1.4899	             NaN	             NaN	             NaN	1.829	1.829	1.829	1.829	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.516	             NaN	2.4708	             NaN	1.1869	1.161	             NaN	             NaN	1.737
PMP22	1.2438	2.4922	             NaN	1.5975	1.4662	             NaN	2.3184	1.3575	             NaN	             NaN	             NaN	2.1775	1.8221	3.1854	3.1854	             NaN	             NaN	1.1234	1.9109	             NaN	             NaN	1.2781	             NaN	2.215	2.215	2.215	2.215	1.2296	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	4.0197	4.9079	2.1646	2.0107	2.0144	1.1752	1.6323	2
PPARD	1.3168	             NaN	             NaN	             NaN	2.3714	             NaN	1.892	             NaN	3.5302	             NaN	             NaN	             NaN	2.405	2.2573	1.0557	             NaN	             NaN	1.7529	1.0343	             NaN	             NaN	             NaN	1.2178	1.7823	2.4642	2.6669	2.6669	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.6781	3.0043	1.4051	1.1073	1.736	1.0352	1.3219	             NaN
EPS8	1.3457	             NaN	             NaN	             NaN	1.2085	2.2854	             NaN	             NaN	             NaN	             NaN	             NaN	1.9751	             NaN	1.9297	1.3032	             NaN	1.2584	             NaN	             NaN	             NaN	             NaN	             NaN	1.0331	1.5869	1.5869	1.5869	1.5869	1.5869	             NaN	             NaN	             NaN	             NaN	             NaN	2.0144	             NaN	1.5558	             NaN	1.2804	             NaN	             NaN	1.161	             NaN
GIT2	             NaN	             NaN	2.2154	             NaN	             NaN	             NaN	2.2154	             NaN	             NaN	2.0763	1.2053	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.2154	2.2154	             NaN	             NaN	             NaN	             NaN	1.2501	             NaN	             NaN	1.8475	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.0566	             NaN	3.0942	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN
P4HA1	             NaN	1.6268	1.1581	             NaN	             NaN	             NaN	1.0257	1.3906	1.2185	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3654	1.4218	             NaN	             NaN	             NaN	1.0497	1.5352	1.3001	             NaN	             NaN	1.3626	             NaN	             NaN	             NaN	             NaN	             NaN	1.1513	             NaN	1.1831	1.4592	1.353	             NaN	1.085	1.1086	             NaN
NEFH	             NaN	             NaN	1.073	             NaN	             NaN	1.2273	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0531	1.4308	1.4308	1.001	             NaN	             NaN	             NaN	1.1721	             NaN	             NaN	             NaN	             NaN	1.6182	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.7004	1.3612	             NaN	             NaN	             NaN	             NaN	             NaN
IGBP1	             NaN	             NaN	             NaN	             NaN	             NaN	1.8317	             NaN	1.7631	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1039	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.9755	1.9465	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.4343	1.1375	1.0688	1.5245	             NaN	             NaN	             NaN	1.661	             NaN
NUCB2	             NaN	             NaN	2.2117	1.007	             NaN	             NaN	             NaN	1.2012	             NaN	             NaN	1.3996	1.6249	             NaN	1.371	             NaN	1.1546	             NaN	             NaN	1.5151	1.7015	1.1662	             NaN	             NaN	1.6455	             NaN	1.6455	1.6455	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.281	             NaN	2.3277	             NaN	1	             NaN	             NaN	1.737	             NaN
MRE11A	             NaN	             NaN	1.4465	1.1511	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.5426	             NaN	             NaN	1.0366	             NaN	1.0135	1.4967	             NaN	1.2534	             NaN	1.4967	             NaN	1.4967	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.005	             NaN	             NaN	1.8237	             NaN	1.2029	             NaN	1.0352	             NaN	             NaN	             NaN	             NaN
COX7A2	             NaN	             NaN	1.7248	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3751	1.6859	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.263	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.4605	1.1798	1.1545	             NaN	             NaN	             NaN	1.926	             NaN	             NaN
TPMT	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.5363	             NaN	1.129	             NaN	1.1294	             NaN	             NaN	             NaN	             NaN	1.9148	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.6822	1.9091	1.9091	             NaN	1.3932	             NaN	             NaN	             NaN	             NaN	             NaN	1.4249	             NaN	             NaN	1.0473	             NaN	             NaN	             NaN	             NaN	             NaN
MYO1C	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.4544	             NaN	4.4738	             NaN	             NaN	             NaN	             NaN	             NaN	1.5998	1.7907	             NaN	1.3567	1.1541	             NaN	2.48	             NaN	             NaN	1.8	             NaN	1.7398	             NaN	             NaN	1.2157	             NaN	1.2151	1.2165	1.0294
OMP	             NaN	             NaN	             NaN	             NaN	1.0462	             NaN	1.0299	1.1638	1.1939	             NaN	1.6491	             NaN	             NaN	1.2482	             NaN	             NaN	1.2083	2.129	             NaN	             NaN	             NaN	1.0888	1.0319	2.8938	             NaN	2.8938	             NaN	1.3128	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.2987	1.8663	             NaN	             NaN	             NaN	             NaN	1.671	             NaN
FN1	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2602	             NaN	4.3524	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.4927	2.305	1.7108	2.8747	3.0342	1.0642	1.28	1.17	1.43	1.33	1.83	             NaN	1.25	             NaN	             NaN	1.7928	1.9663	2.7362	1.3912	2.0929
CAMK1	             NaN	             NaN	1.5125	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3208	             NaN	             NaN	             NaN	             NaN	             NaN	1.8126	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.6486	1.67	             NaN	             NaN	             NaN	             NaN	4.2403	1.1375	             NaN	1.1073	1.1073	2.0294	1	             NaN	1.8219
CAMK2G	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.4761	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3193	             NaN	             NaN	             NaN	             NaN	             NaN	1.0676	1.3873	1.0676	             NaN	             NaN	1.395	             NaN	             NaN	1.195	             NaN	             NaN	1.3415	             NaN	1.0196	1.0517	             NaN	             NaN	             NaN
DECR1	             NaN	             NaN	             NaN	             NaN	1.161	             NaN	             NaN	             NaN	1.9012	             NaN	1.147	             NaN	             NaN	             NaN	             NaN	2.8748	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0069	             NaN	             NaN	1.0961	1.557	             NaN	             NaN	             NaN	             NaN	             NaN	1.4952	1.3462	1.2808	1.0143	             NaN	1.3913	             NaN	             NaN	             NaN
ESD	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1041	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1757	             NaN	             NaN	             NaN	             NaN	1	             NaN	             NaN
CYC1	1.7356	2.1151	             NaN	1.905	             NaN	2.3623	2.2742	3.6201	3.6201	             NaN	             NaN	2.9752	             NaN	             NaN	             NaN	4.4414	2.9782	4.8863	4.8863	             NaN	3.2428	2.279	2.6379	2.4481	2.4481	2.4481	2.4481	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	3.797	1.433	1.048	             NaN	             NaN	2.0528	1.263	1.2003	2.0294
GSS	1.0799	             NaN	             NaN	1.6558	1.4218	             NaN	2.7271	             NaN	             NaN	1.6828	1.2388	             NaN	1.0837	1.1708	1.584	             NaN	1.3336	2.7271	1.3703	             NaN	1.4913	2.1836	1.5404	             NaN	1.9946	1.9946	             NaN	1.9946	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0513	             NaN	             NaN	             NaN	             NaN
DYRK4	             NaN	             NaN	             NaN	1.9998	             NaN	1.1635	1.9102	1.3302	1.7986	1.3895	1.071	1.1795	             NaN	             NaN	             NaN	             NaN	1.222	2.3367	             NaN	1.0908	2.6031	2.2904	1.5203	2.1316	2.1316	2.1316	             NaN	1.0481	             NaN	             NaN	1.435	             NaN	             NaN	1.1549	             NaN	3.4141	             NaN	             NaN	             NaN	             NaN	1.2804	1
ACAT1	             NaN	             NaN	             NaN	2.6027	             NaN	             NaN	2.4524	             NaN	             NaN	1.5404	1.0039	             NaN	             NaN	2.753	             NaN	2.408	1.5995	             NaN	1.0971	             NaN	2.4621	2.2656	1.6745	1.8074	1.1568	2.13	2.13	2.13	             NaN	             NaN	             NaN	             NaN	             NaN	1.3032	1.663	3.6893	1.2788	             NaN	1.6261	1.737	             NaN	             NaN
CHES1	             NaN	             NaN	1.6707	1.1315	1.2775	1.657	2.663	1.0872	1.1694	             NaN	1.0965	1.0944	             NaN	1.5625	1.7272	1.1522	1.0886	             NaN	             NaN	             NaN	1.5832	1.774	1.5137	             NaN	1.144	1.3838	1.2377	1.2626	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1073	             NaN	             NaN	             NaN	             NaN	1.3219
C12ORF8	             NaN	             NaN	1.3153	2.0977	             NaN	1.0449	1.4488	2.4235	2.56	1.6687	1.5027	             NaN	             NaN	             NaN	             NaN	1.9336	2.7093	3.6905	             NaN	1.4444	3.4888	3.2561	3.0952	2.0111	3.4621	1.9352	1.0862	2.6165	             NaN	             NaN	             NaN	             NaN	             NaN	1.8319	1.9184	             NaN	3.0173	1.0672	2.3774	             NaN	1.737	             NaN
PKN1	             NaN	             NaN	             NaN	1.048	             NaN	             NaN	1.125	1.0514	1.1115	1.1291	1.4839	             NaN	             NaN	1.2041	1.2041	1.6518	             NaN	             NaN	1.0092	1.1701	1.4961	1.805	1.5688	             NaN	1.729	1.026	             NaN	1.1848	             NaN	             NaN	             NaN	             NaN	             NaN	2.2079	1.1635	             NaN	1.1073	             NaN	             NaN	             NaN	             NaN	1.3685
TNFRSF1A	1.7784	             NaN	             NaN	2.12	1.3101	             NaN	4.852	3.668	4.7874	1.6202	1.8526	1.2698	1.7362	             NaN	             NaN	1.6381	1.6211	1.4033	1.4052	1.0564	1.358	3.2561	2.957	             NaN	3.0016	3.0016	3.0016	             NaN	1.41	1.92	             NaN	             NaN	             NaN	2.1155	2.5801	1.0449	             NaN	2.6553	1.4603	             NaN	1.5704	             NaN
CPT2	             NaN	             NaN	1.0279	1.0519	1.4239	             NaN	2.7221	1.8297	1.0478	             NaN	2.7221	             NaN	             NaN	             NaN	             NaN	1.8867	1.073	             NaN	             NaN	             NaN	1.6031	1.1762	1.7106	1.7044	1.7044	1.7044	1.7044	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.1953	1.1243	1.055	1.1073	             NaN	1.048	             NaN	1.433	2.0704
COASY	1.5878	1.8878	1.6892	1.6732	1.3281	             NaN	2.1357	1.8361	1.3821	1.8299	2.1357	             NaN	             NaN	1.2084	1.1766	1.0904	1.2582	             NaN	1.516	1.2084	1.6241	1.2438	2.1211	2.1782	2.1782	2.1782	1.62	1.3781	             NaN	             NaN	             NaN	             NaN	             NaN	1.7137	             NaN	             NaN	             NaN	             NaN	1.2147	             NaN	1.3219	1.7225
TOB1	2.6361	             NaN	3.5343	2.454	1.5305	3.1668	             NaN	1.885	1.885	1.5008	             NaN	             NaN	             NaN	2.4556	             NaN	1.8515	             NaN	1.8942	             NaN	1.1725	2.3042	1.1562	2.8079	2.7651	2.0248	2.7651	             NaN	1.0881	             NaN	             NaN	             NaN	             NaN	             NaN	2.257	             NaN	4.332	1.161	             NaN	1.1073	1.3219	             NaN	1.161
GOT2	             NaN	             NaN	2.4136	             NaN	             NaN	1.1694	1.4864	1.5142	1.4587	1.0811	1.8579	             NaN	1.4843	3.073	             NaN	4.1682	             NaN	4.0402	4.0402	             NaN	             NaN	1.0601	1.0037	3.7331	3.7331	3.7331	3.7331	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3807	1.5261	4.674	             NaN	             NaN	             NaN	1	             NaN	1.0294
GALE	1.1817	             NaN	             NaN	             NaN	             NaN	1.0655	1.8474	1.5758	1.2169	             NaN	             NaN	             NaN	1.2315	             NaN	             NaN	3.362	             NaN	3.6103	             NaN	             NaN	             NaN	             NaN	             NaN	2.3551	2.3729	2.3729	1.0492	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.9632	             NaN	1.5284	1.1073	1.1073	1.3434	             NaN	             NaN	             NaN
