genes	m0 control1	m0 control2	m0 control3	m0 control4	m0 Latex	m0 E. coli	m0 EHEC	m0 S. typhi	m0 S. typhimirium	m0 S. aureus	m0 L. monocytogenes	m0 M. tuberculosis	m0 M. bovis BCG	m0 LPS E	m0 LPS S	m0 LTA	m0 MDP	m0 TB hsp70	m0 BCG hsp65	m0 MPA	m0 f-MLP	m0 Protein A	m0 Mannose	m0 IFN-alpha	m0 IFN-beta	m0 IFN-gamma	m0 IL-10	m0 IL-12	m0 (U937) control1	m0 (U937) B. pertussis 338	m0 (U937) B. pertussis 537 (avirulent)	m0 (U937) B. pertussis A2-6 (AC-)	m0 (U937) B. pertussis Tox6 (PT-)	DC control1	DC control2	DC control3	DC E. coli 	DC Influenza 	DC C. albicans 	DC LPS 	DC PolyIC 	DC Mannan 
RPN2	             NaN	             NaN	1.306	1.1496	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0274	             NaN	             NaN	             NaN	1.4585	1.1471	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3983	             NaN	             NaN	2.7655	1.7517	1.0294
PDXK	1.0064	             NaN	2.1526	1.0765	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.435	             NaN	             NaN	             NaN	1.0326	1.7552	             NaN	             NaN	1.0576	1.8873	1.2011	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0115	             NaN	1.5434	             NaN	2.6553	             NaN	2.2115	1.8715	             NaN
BZRP	             NaN	             NaN	1.1478	             NaN	             NaN	             NaN	             NaN	1.1055	1.0814	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.6683	1.6541	             NaN	             NaN	             NaN	             NaN	1.2599	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3989	             NaN	1.3902	1.932	             NaN	             NaN	2.585	1.0555	             NaN
HK1	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1344	1.0413	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1393	             NaN	             NaN	1.5178	1	             NaN	3.9542	1.1667	             NaN
GPX1	             NaN	             NaN	             NaN	             NaN	2.4394	             NaN	1.1265	1.3544	1.5405	             NaN	1.4714	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.11	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.8058	1.6505	             NaN	             NaN	             NaN	             NaN	1.1163	             NaN
ATP6AP1	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.4699	1.1064	             NaN	             NaN	             NaN	2.8875	1.919	             NaN
PPGB	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0698	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0302	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0273	1.4088	1.1486	             NaN	1.926	2.3237	             NaN
LRPAP1	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1902	1.1058	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0102	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.5221	             NaN	1.1383	             NaN	1.1073	             NaN	             NaN	             NaN	             NaN
PLOD	1.4562	             NaN	             NaN	             NaN	             NaN	             NaN	1.263	1.0521	2.1189	2.3071	1.3609	             NaN	             NaN	             NaN	             NaN	5.3425	             NaN	5.3013	1.0406	             NaN	             NaN	             NaN	             NaN	             NaN	3.9723	1.984	1.1815	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	3.9392	             NaN	1.5453	             NaN	2.2653	1.1912	             NaN	2.3785	1.3219
VAT1	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0751	1.1545	1.2574	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0896	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.8716	             NaN	             NaN	2.1269	1.0704	             NaN	             NaN	             NaN	3.3219
AP2M1	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0663	             NaN	1.1071	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	3.1894	1.2917	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2518	             NaN	1.2779	             NaN	             NaN	1.3208	1.4183
AP2S1	             NaN	             NaN	1.2515	             NaN	             NaN	             NaN	1.1887	1.2389	1.4644	1.0998	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3184	1.3417	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0921	1.8115	             NaN	1.7936	1.0196	             NaN	             NaN	             NaN	1.3219
IDH3G	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.408	1.4346	             NaN	             NaN	             NaN	1.193	             NaN	             NaN	             NaN	             NaN	1.0737	1.1655	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0124	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.37	             NaN	             NaN	1.1269	1.7936	             NaN	1.0704	1	1.5294
POLR2E	1.1114	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1712	1.3667	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.4316	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2848	1.1116	             NaN	             NaN	1.6553	             NaN	1.6781	1	             NaN
MAPK14	             NaN	             NaN	1.5228	             NaN	             NaN	             NaN	1.0045	1.1219	1.2045	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0555	             NaN	             NaN	1.5515	             NaN	             NaN	             NaN	             NaN	             NaN	1.0727	1.045	1.4095	             NaN	             NaN	1.23	             NaN	             NaN	             NaN	1.0955	             NaN	             NaN	1.0098	             NaN	             NaN	             NaN	             NaN	             NaN
FDFT1	1.0216	             NaN	             NaN	             NaN	             NaN	1.0059	1.2529	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.9787	             NaN	1.0595	2.1972	3.2769	             NaN	             NaN	1.0507	             NaN	             NaN	1.4382	1.4382	             NaN	1.9274	1.5415	             NaN	             NaN	             NaN	             NaN	             NaN	2.144	2.2265	1.8213	1.5245	             NaN	             NaN	1.433	             NaN	             NaN
AP3D1	             NaN	             NaN	1.3247	             NaN	             NaN	             NaN	             NaN	1.6139	1.1886	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0935	             NaN	             NaN	             NaN	             NaN	             NaN	1.127	1.0091	1.1068	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.5986	             NaN	2.406	             NaN	1.3219
SMARCA4	             NaN	             NaN	1.4573	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1476	1.4936	             NaN	             NaN	             NaN	             NaN	             NaN	1.0344	1.3022	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.7475	1.2178	             NaN	1.0098	1.2555	             NaN	2.6094	             NaN	1.3219
RBBP4	             NaN	             NaN	             NaN	             NaN	             NaN	1.345	             NaN	1.409	3.1201	             NaN	             NaN	             NaN	             NaN	2.7438	1.5281	1.5419	             NaN	             NaN	1.453	1.3794	             NaN	             NaN	             NaN	2.0744	2.1202	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3385	             NaN	1.1716	             NaN	             NaN	             NaN	             NaN	1.9078	2.3219
EIF3S10	             NaN	             NaN	             NaN	             NaN	1.2138	             NaN	             NaN	             NaN	             NaN	             NaN	1.0452	             NaN	             NaN	             NaN	             NaN	1.3437	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.5668	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.2449	1.2327	             NaN	             NaN	             NaN	             NaN	1.848	1.737	             NaN
